date,n_bas,label,median_err,share_extreme
2018-10-19,43,,5.924507253937227,0.046511627906976744
2021-07-05,44,Independence Day (observed),5.920297088692628,0.022727272727272728
2018-06-02,43,,5.913715432259577,0.046511627906976744
2016-05-31,44,,5.908404855568563,0.022727272727272728
2016-05-30,44,Memorial Day,5.899126832081038,0.045454545454545456
2021-06-22,44,,5.895807579668835,0.06818181818181818
2025-05-31,43,,5.89228800931247,0.11627906976744186
2021-04-29,44,,5.879226845458124,0.022727272727272728
2024-11-22,43,,5.876762825716247,0.0
2026-06-14,42,,5.875863612882707,0.14285714285714285
2022-10-29,43,,5.875124211079239,0.0
2018-11-17,43,,5.868173560993998,0.09302325581395349
2026-05-25,42,Memorial Day,5.867304222667766,0.023809523809523808
2023-05-22,43,,5.865602204100112,0.0
2023-03-21,43,,5.862915367700392,0.0
2016-06-26,43,,5.856149774950592,0.046511627906976744
2017-05-27,44,,5.8505959089488435,0.022727272727272728
2018-10-17,41,,5.845926857226016,0.024390243902439025
2020-05-24,42,,5.840382979347674,0.0
2019-05-05,43,,5.82930052780432,0.0
2026-06-22,42,,5.824860101680491,0.047619047619047616
2022-09-30,43,,5.821201325134756,0.0
2023-10-30,43,,5.816743929038778,0.023255813953488372
2023-11-29,43,,5.807092673409839,0.0
2018-10-18,43,,5.797911331559883,0.023255813953488372
2019-11-13,44,,5.796063499256029,0.09090909090909091
2025-02-22,43,,5.7939686522173455,0.023255813953488372
2023-05-17,43,,5.787836173369533,0.13953488372093023
2021-10-31,42,,5.78510400936727,0.0
2016-06-20,44,,5.784037520795776,0.045454545454545456
2025-11-27,43,Thanksgiving,5.779548528119852,0.0
2024-10-20,43,,5.766291651471623,0.023255813953488372
2018-10-11,43,,5.755336048120549,0.0
2023-10-12,43,,5.74819080026017,0.0
2026-05-12,42,,5.738378815463399,0.047619047619047616
2022-02-23,43,,5.728222142409777,0.0
2021-06-26,44,,5.7243209583831955,0.13636363636363635
2019-06-02,44,,5.703881877548471,0.0
2019-10-09,44,,5.695008323725977,0.0
2016-06-07,42,,5.6866012875224525,0.0
2020-02-21,43,,5.678273920181075,0.0
2022-06-01,43,,5.6695536672326785,0.0
2021-06-18,44,Juneteenth (observed),5.659976461364627,0.022727272727272728
2017-03-16,44,,5.659932898452098,0.0
2023-04-30,43,,5.65331461743733,0.11627906976744186
2024-11-07,42,,5.651421336088774,0.023809523809523808
2022-05-17,43,,5.650296127913137,0.0
2021-11-06,43,,5.6450063429964645,0.046511627906976744
2020-10-25,43,,5.642299927088232,0.0
